lcd_id,lcd_version,sticky_note_version,sticky_note,sticky_note_dt,sticky_note_posting_dt
40025,8,1,"The JN website was recently updated. As a result, the link in the Open Meetings and the Contractor Advisory Committee (CAC) Meetings sections of this Proposed LCD are not working. <br /><br />The updated link for the Open Meetings section is https://medicare.fcso.com/medical-affairs/proposed-local-coverage-determinations-lcds-open-meetings and the updated link for the Contractor Advisory Committee (CAC) Meetings section is https://medicare.fcso.com/medical-affairs/proposed-local-coverage-determination-contractor-advisory-committee-cac-meetings<br /><br /><br /><br />",2025-11-07 17:05:16,2025-11-13 00:00:00
40221,4,1,"Under Summary of Evidence, subheading Non-NGS Targeted Molecular Panel Tests: 6th paragraph revised 2nd sentence to state: ""However, testing that includes multiple assays is expected to detect the most common relevant gene alterations in a matter of hours."" ",2026-06-29 20:03:36,2026-07-09 00:00:00
40268,6,1,Only the removal of references to carpal and tarsal tunnel injections is open for official comment.,2025-09-18 16:10:42,2025-09-25 00:00:00
40269,12,1,The number 11 source listed in the Bibliography of this proposed Nebulizers LCD (DL33370) contains a webpage link that is no longer functional. The linked webpage has been moved to a new location on the Centers for Disease Control and Prevention (CDC) website.<br /> <br />The link that is no longer functional redirects to the new location on the CDC website after 10 seconds.<br /> <br />Here is the direct link to the webpage at the new location on the CDC website: https://www.cdc.gov/disability-and-health/about/index.html [cdc.gov]<br />,2025-12-16 14:53:51,2025-12-25 00:00:00
40269,12,2,"Within the Open Meetings table, the registration link (located in the Meeting Information column) no longer directs viewers to an active registration for the meeting. The meeting registration previously closed, and the meeting date has passed.",2026-01-16 19:58:45,2026-01-22 00:00:00
40270,19,1,"Within the Open Meetings table, the registration link (located in the Meeting Information column) no longer directs viewers to an active registration for the meeting. The meeting registration previously closed, and the meeting date has passed.",2026-01-20 20:03:15,2026-01-29 00:00:00
40279,6,1,Only the Indications of Coverage for Unilateral Pallidotomy are open for official comment.,2025-09-18 19:00:16,2025-09-25 00:00:00
40288,7,1,"The JN website was recently updated. As a result, the link in the “Open Meetings” section of the LCD is not working. Please use the following link for information on the upcoming Open Meeting: https://medicare.fcso.com/medical-affairs/proposed-local-coverage-determinations-lcds-open-meetings",2025-09-19 15:27:27,2025-09-25 00:00:00
40314,11,1,Please note: The correct time for the Open Meeting on March 5 is 1:00 PM ET.,2026-02-20 19:37:13,2026-02-26 00:00:00
40327,4,1,"Under the Bibliography, a broken hyperlink was fixed on source #40. The updated link is: https://medpolicy.ibx.com/ibc/Commercial/Pages/Policy/9a9b7526-a15b-4245-8bd7-5c60adfb8fd4.aspx",2026-04-16 18:19:19,2026-04-23 00:00:00
40340,3,1,The Contractor Advisory Committee (CAC) Meetings for this proposed LCD is 02/19/2026. The 01/19/2026 date was listed in error. https://www.wpsgha.com/guides-resources/view/538,2026-01-29 14:46:57,2026-02-05 00:00:00
40340,3,2,Bibliography source # 40 was updated to correct the broken hyperlink to https://medpolicy.ibx.com/ibc/Commercial/Pages/Policy/9a9b7526-a15b-4245-8bd7-5c60adfb8fd4.aspx,2026-04-15 12:45:41,2026-04-23 00:00:00
40351,3,1,Only the removal of the sentence “The treatment shall be given under direct supervision of this NPP” under the Indications of coverage is open for official comment.,2026-03-27 15:56:01,2026-04-02 00:00:00
40357,4,1,Only the removal of APOE from the list of Tier 2 Non-covered Codes/Gene Combinations is open for comment.,2026-03-27 13:07:39,2026-04-02 00:00:00
40377,27,1,"<b>Please note:</b> The Comment Period Start and End Dates listed below are incorrect. <b>The correct comment period for this Proposed LCD is from May 14, 2026, to June 27, 2026.</b>",2026-05-13 18:48:41,2026-05-21 00:00:00
40379,8,1,"<b>Please note:</b> The Comment Period Start and End Dates listed below are incorrect. <b>The correct comment period for this Proposed LCD is from May 14, 2026, to June 27, 2026.</b><br />",2026-05-13 18:51:00,2026-05-21 00:00:00
40384,5,1,"The proposed draft incorrectly states N/A under Contractor Advisory Committee (CAC) Meetings. A CAC engagement meeting will be held via teleconference for this proposed LCD on 07/02/2026 for Iowa, Kansas, Missouri, Nebraska, Indiana, and Michigan. The Open Meeting on 06/24/2026 will also be held via teleconference. <br /><br />",2026-05-21 18:03:07,2026-05-28 00:00:00
